,id,name,profession,age,age_group,medical_risk,registration time,deadline,address,phone,wechat,email,birthday,hospital priority,treatment
40,442798659,Percy,8,28,3,1,2022 1 8 9 19 53,-1,Michael,19139142236,Regal,Landon@zju.edu.cn,1993/12/5,1 3 2,2
41,858823554,Frida,5,13,2,0,2022 1 8 19 37 26,-1,Bernice,17717103100,Timothy,Shabi@zju.edu.cn,2008/10/11,1 3 2,2
42,191182211,Lion-like,1,14,2,0,2022 1 8 21 0 24,-1,Erin,13135071222,Maisie,Lion-like@gmail.com,2007/7/25,3 2 1,0
43,441518039,Imogen,4,48,4,2,2022 1 8 22 9 40,-1,Pearl,18479045918,Questa,Imogen@gmail.com,1973/2/25,1 3 2,1
44,674459257,Francesca,5,64,5,2,2022 1 8 22 53 55,-1,Mighty,18745123156,Solomon,Francesca@gmail.com,1957/6/11,2 1 3,2
45,379655703,Rowena,7,36,4,2,2022 1 9 9 59 17,-1,Blooming,13868183269,Grant,Rowena@gmail.com,1985/6/27,2 3 1,1
46,211835348,Geneva,8,6,1,2,2022 1 9 16 36 5,-1,Halbert,18864172819,Hope,Geneva@gmail.com,2015/10/19,1 3 2,1
47,524380340,Oriel,2,27,3,2,2022 1 10 0 54 14,-1,Felicia,13057784155,Maia,Oriel@gmail.com,1994/6/11,2 3 1,2
48,178899256,Royce,5,79,7,2,2022 1 10 1 16 47,-1,Small,13348059540,Imagine,Royce@gmail.com,1942/11/23,2 3 1,1
49,311663473,Egan,1,79,7,0,2022 1 10 6 21 1,-1,Farrell,19874749661,Vandal,Egan@gmail.com,1942/5/29,1 2 3,0
50,609332946,Natalie,4,20,3,3,2022 1 10 20 28 50,-1,Rosa,13844776033,Sharon,Natalie@gmail.com,2001/3/29,1 3 2,2
51,658563483,Ingrid,5,50,4,1,2022 1 10 23 50 12,-1,Trixie,18193848460,Quinlan,Ingrid@gmail.com,1971/11/9,3 2 1,0
52,668873597,Audrey,2,66,6,1,2022 1 11 2 40 4,-1,Elfin,18676279070,Halbert,Audrey@gmail.com,1955/10/29,2 1 3,1
53,864092633,Norris,7,69,6,0,2022 1 11 10 54 56,-1,Caretaker,18377791847,Thomas,Norris@gmail.com,1952/6/18,2 3 1,2
54,468953431,Ramsey,8,60,5,3,2022 1 11 13 57 14,-1,Silas,18953458047,Isaac,Ramsey@gmail.com,1961/4/28,3 1 2,0
55,282192299,Virginia,1,73,6,1,2022 1 11 18 25 32,-1,Ruby,15215866112,Star,Virginia@gmail.com,1948/10/14,3 1 2,0
56,310160401,Donna,3,63,5,1,2022 1 11 21 31 16,-1,Guardian,15028857554,Bird,Donna@gmail.com,1958/4/23,2 1 3,0
57,227673040,Tamara,8,59,5,1,2022 1 12 2 31 50,-1,Constant,18415744359,Paulette,Tamara@gmail.com,1962/12/2,2 3 1,0
58,204863545,Shining,8,6,1,3,2022 1 12 8 27 4,-1,Respected,15062365624,Edwin,Shining@gmail.com,2015/9/30,2 3 1,2
59,670802960,Valiant,5,72,6,2,2022 1 12 12 28 8,-1,Shannon,15141839857,Mark,Valiant@gmail.com,1949/8/1,2 3 1,2
60,937236524,Myra,8,38,4,3,2022 1 12 12 40 9,-1,Henry,17726188504,Grace,Myra@gmail.com,1983/3/20,2 1 3,0
61,962522805,Leslie,5,55,5,1,2022 1 12 19 12 42,-1,Hartley,18833546408,Red-Haired,Leslie@gmail.com,1966/6/6,3 2 1,0
62,756931447,Meadow,2,18,2,2,2022 1 13 0 45 19,-1,Solomon,17769307401,Honor,Meadow@gmail.com,2003/3/17,1 3 2,2
63,738110969,Elizabeth,6,23,3,0,2022 1 13 5 15 43,-1,Philomena,18706783040,Eldwin,Elizabeth@gmail.com,1998/1/15,1 3 2,1
64,820630265,Tuesday,7,54,5,1,2022 1 13 11 2 49,-1,Duncan,13027762325,Pierce,Tuesday@gmail.com,1967/4/26,3 1 2,0
65,981257310,Yvette,1,35,3,3,2022 1 13 20 8 33,-1,Timothy,18222276363,Quimby,Yvette@gmail.com,1986/6/22,3 2 1,2
66,917937553,Edmond,5,12,1,2,2022 1 14 1 53 5,-1,Harvester,13462775172,Nursing,Edmond@gmail.com,2009/11/30,2 1 3,2
67,355375509,Wylie,3,47,4,2,2022 1 14 8 48 5,-1,Melody,13706979223,Swift,Wylie@gmail.com,1974/6/10,2 1 3,2
68,827367354,Tyler,5,48,4,2,2022 1 14 13 39 49,-1,Sherwin,15310261515,Ezra,Tyler@gmail.com,1973/5/8,3 2 1,1
69,254463219,Misty,5,39,4,2,2022 1 14 17 7 56,-1,Vanessa,19844826225,Theodore,Misty@gmail.com,1982/9/2,1 3 2,2
70,220088495,Oswald,5,2,1,1,2022 1 14 21 29 27,-1,Vaughan,19187959778,Hazel,Oswald@gmail.com,2019/9/19,2 3 1,2
71,135967027,Harley,1,5,1,1,2022 1 15 0 21 20,-1,Halsey,15172033147,Dwayne,Harley@gmail.com,2016/10/3,3 1 2,1
72,941801414,Hugo,6,58,5,2,2022 1 15 8 37 30,-1,Laura,18110254512,Paxton,Hugo@gmail.com,1963/10/10,3 1 2,1
73,638123776,Tara,1,76,7,0,2022 1 15 9 28 41,-1,Morgan,17877606024,Archer,Tara@gmail.com,1946/1/19,1 3 2,2
74,856081978,Verda,1,25,3,0,2022 1 15 12 47 33,-1,Hugo,15302712243,Melville,Verda@gmail.com,1996/6/17,3 2 1,2
75,736846663,Berta,2,41,4,2,2022 1 15 18 45 47,-1,Neal,18934712576,One,Berta@gmail.com,1980/1/21,3 1 2,2
76,927690009,Serena,1,54,5,0,2022 1 15 24 25 50,-1,Driscoll,15357546833,Quincy,Serena@gmail.com,1967/2/14,3 2 1,1
77,526986459,Kingly,1,28,3,2,2022 1 16 0 47 52,-1,Paul,17288587691,Quintana,Kingly@gmail.com,1993/10/4,1 3 2,1
78,518696166,Blackbird,8,25,3,1,2022 1 16 2 25 13,-1,Maisie,14786928355,Patriotic,Blackbird@gmail.com,1996/11/17,2 3 1,0
79,168428665,Primavera,6,47,4,1,2022 1 16 7 27 29,-1,Louis,15545227219,Irene,Primavera@gmail.com,1974/6/9,3 2 1,1
80,926186996,Ramona,2,54,5,3,2022 1 16 17 36 30,-1,Hanley,18102585174,Gideon,Ramona@gmail.com,1967/3/10,2 1 3,0
81,522940988,Zachariah,3,48,4,1,2022 1 16 17 59 30,-1,Life,17050767812,Peaceful,Zachariah@gmail.com,1973/5/3,3 2 1,1
82,570517520,Ernest,2,78,7,2,2022 1 16 21 12 30,-1,Fourth,16695171916,Brooke,Ernest@gmail.com,1943/7/27,1 3 2,2
83,503568966,Supplanter,3,6,1,1,2022 1 17 6 42 12,-1,Alison,15562257234,Echo,Supplanter@gmail.com,2015/1/24,3 1 2,2
84,231289383,Kingsley,6,2,1,2,2022 1 17 8 2 12,-1,Eve,15599751226,Mona,Kingsley@gmail.com,2019/9/16,1 3 2,2
85,289776922,Beverly,6,34,3,0,2022 1 17 9 4 30,-1,Mary,14764786248,Zea,Beverly@gmail.com,1987/3/30,3 2 1,0
86,109215585,Peg,7,76,7,0,2022 1 17 9 20 3,-1,Aileen,13176803626,Commander,Peg@gmail.com,1945/3/6,2 3 1,2
87,718677167,Amanda,1,40,4,0,2022 1 17 11 15 47,-1,Sharp,18465487904,Jacob,Amanda@gmail.com,1981/11/5,2 3 1,1
88,769789811,Laurence,1,67,6,3,2022 1 17 20 11 22,-1,Anthea,18832482162,Travis,Laurence@gmail.com,1954/2/15,3 2 1,0
89,184596412,Darian,1,6,1,2,2022 1 18 3 15 45,-1,Fiona,17581294787,Nola,Darian@gmail.com,2015/8/22,3 2 1,2
90,234105173,Grover,6,41,4,0,2022 1 18 5 0 50,-1,Ivar,17335109470,Talia,Grover@gmail.com,1980/4/10,1 3 2,0
91,223354973,Dalton,4,30,3,2,2022 1 18 5 19 15,-1,Vita,17364566435,Lucy,Dalton@gmail.com,1991/6/16,1 2 3,1
92,131665686,Roy,3,69,6,2,2022 1 18 8 27 16,-1,Harry,13522215047,Richard,Roy@gmail.com,1952/12/30,3 2 1,0
93,360789940,Jimmy,7,54,5,0,2022 1 18 17 4 4,-1,Beatrice,15823281001,George,Jimmy@gmail.com,1967/12/29,2 1 3,2
94,114573904,Rebellious,4,77,7,3,2022 1 18 19 32 44,-1,Desired,13965657779,Joy,Rebellious@gmail.com,1944/5/10,3 1 2,1
95,261976746,Sherman,7,30,3,1,2022 1 18 21 25 10,-1,Sacha,18281948707,Bernice,Sherman@gmail.com,1991/3/20,2 1 3,2
96,801132654,Juliana,2,70,6,1,2022 1 19 1 5 35,-1,Lizzie,14929955574,Counsellor,Juliana@gmail.com,1952/1/8,1 3 2,2
97,365750870,Jacqueline,7,46,4,3,2022 1 19 4 48 33,-1,Emma,17374752109,Ophelia,Jacqueline@gmail.com,1975/2/3,2 3 1,0
98,137091774,Thomasina,3,48,4,0,2022 1 19 5 42 35,-1,Violet,15149327405,Ruth,Thomasina@gmail.com,1973/7/1,1 2 3,1
99,669454115,Keely,8,72,6,3,2022 1 19 7 12 16,-1,Selena,18234055178,Aileen,Keely@gmail.com,1949/3/7,2 3 1,0
100,841343698,Herbert,2,57,5,3,2022 1 19 8 41 19,-1,Hanna,15505673743,Mirabelle,Herbert@gmail.com,1964/10/23,3 1 2,0
101,779068128,Perfect,6,34,3,0,2022 1 19 10 54 29,-1,Emmanuel,18220753870,Jewel,Perfect@gmail.com,1987/7/11,2 3 1,2
102,617360427,Tess,4,70,6,1,2022 1 19 16 18 32,-1,Hubert,18432514143,Damon,Tess@gmail.com,1951/12/4,1 3 2,2
103,237942328,Ariana,5,42,4,1,2022 1 19 18 56 25,-1,Praised,17085187728,Ulrica,Ariana@gmail.com,1979/10/6,1 2 3,2
104,794541593,Famous,6,19,3,1,2022 1 19 21 3 58,-1,Roberta,15147361409,Martina,Famous@gmail.com,2002/12/29,1 2 3,0
105,151931637,Wilbur,4,19,3,3,2022 1 20 0 11 20,-1,Nigel,13440018047,Delightful,Wilbur@gmail.com,2002/7/22,2 3 1,0
106,753408968,Bonnie,2,21,3,2,2022 1 20 1 5 10,-1,Jasmine,13157164992,Eda,Bonnie@gmail.com,2000/5/4,2 3 1,2
107,454557627,Ebenezer,2,74,6,2,2022 1 20 4 16 3,-1,Nell,19197175990,Landon,Ebenezer@gmail.com,1947/4/3,2 3 1,2
108,947155605,Church,1,26,3,0,2022 1 20 8 36 4,-1,Just,18907996562,Edric,Church@gmail.com,1995/5/14,3 1 2,1
109,862030093,Handsome,7,58,5,3,2022 1 20 12 34 50,-1,Keaton,15087666825,Lionel,Handsome@gmail.com,1963/11/5,3 2 1,2
110,591252177,Optimistic,2,64,5,1,2022 1 20 14 34 26,-1,Mercy,13729501618,Fairfax,Optimistic@gmail.com,1957/9/11,2 3 1,1
111,728841759,Lane,5,22,3,2,2022 1 20 19 1 44,-1,Perry,18247559212,Eileen,Lane@gmail.com,1999/12/25,2 3 1,2
112,880134682,Stanley,7,18,2,2,2022 1 21 3 4 15,-1,Adelaide,17847427785,Land,Stanley@gmail.com,2003/5/25,1 3 2,0
113,162357402,Hamlin,3,48,4,3,2022 1 21 6 40 19,-1,Strength,14737283726,Anthea,Hamlin@gmail.com,1973/9/12,1 2 3,1
114,485234529,Neal,6,27,3,3,2022 1 21 6 42 16,-1,Davin,15036978133,Lucinda,Neal@gmail.com,1994/9/19,3 2 1,2
115,920067917,Kara,4,46,4,3,2022 1 21 9 14 6,-1,Enoch,14919122442,Quentin,Kara@gmail.com,1975/2/7,2 1 3,1
116,669571302,Pierce,8,35,3,0,2022 1 21 9 21 49,-1,Perfect,15360106475,Fern,Pierce@gmail.com,1986/10/19,1 2 3,1
117,514411517,Ambitious,7,20,3,2,2022 1 21 14 54 18,-1,Precious,13287087898,Half-Dane,Ambitious@gmail.com,2001/5/2,1 3 2,2
118,678643298,Patty,4,46,4,3,2022 1 21 16 57 44,-1,Exalted,19825015215,Walter,Patty@gmail.com,1975/10/23,1 2 3,0
119,692167883,Leith,8,58,5,3,2022 1 21 23 7 41,-1,Maddox,13617539466,Ridley,Leith@gmail.com,1963/4/3,2 1 3,2
120,762134941,Sherwin,7,35,3,0,2022 1 22 0 8 48,-1,Delight,18576237736,April,Sherwin@gmail.com,1986/12/9,3 1 2,2
121,937227922,Joanna,5,30,3,2,2022 1 22 1 46 6,-1,Otis,13949979024,Lulu,Joanna@gmail.com,1991/6/12,1 2 3,2
122,618794278,Gale,5,58,5,1,2022 1 22 3 5 13,-1,Half-Dane,13461364722,Serena,Gale@gmail.com,1963/3/15,3 1 2,1
123,460685584,Elias,5,58,5,1,2022 1 22 7 58 49,-1,Vania,13172631235,Unwin,Elias@gmail.com,1963/10/4,3 2 1,1
124,716877758,Female,2,53,5,0,2022 1 22 21 46 15,-1,Forrest,18589865793,Trina,Female@gmail.com,1968/5/31,3 2 1,2
125,473432968,Ethan,1,5,1,3,2022 1 22 22 13 47,-1,Wolf,17191577173,Landry,Ethan@gmail.com,2016/3/14,1 3 2,2
126,704542133,Jade,1,11,1,1,2022 1 22 24 7 19,-1,Olga,19872893578,Warlike,Jade@gmail.com,2010/10/23,3 2 1,1
127,993454063,Durwin,5,6,1,3,2022 1 23 0 25 23,-1,Mavis,15277528568,Gentle,Durwin@gmail.com,2015/7/7,1 3 2,2
128,182981818,Livia,6,68,6,2,2022 1 23 0 56 9,-1,Thunder,14709385507,Dorian,Livia@gmail.com,1953/4/25,3 1 2,0
129,243327755,Roswell,1,60,5,0,2022 1 23 2 3 53,-1,Jasper,13711343960,Genevieve,Roswell@gmail.com,1961/10/31,2 1 3,1
130,514117542,Zelda,8,29,3,3,2022 1 23 23 48 47,-1,Dalton,19833127562,Handmaiden,Zelda@gmail.com,1992/1/30,1 2 3,0
131,489061906,Marvin,5,37,4,2,2022 1 23 24 46 59,-1,Rosanne,18698609397,Keene,Marvin@gmail.com,1984/1/17,2 3 1,0
132,584970135,Plains,2,47,4,3,2022 1 24 12 33 19,-1,Tina,15826017213,Erwin,Plains@gmail.com,1974/6/4,3 2 1,0
133,977414211,Drew,8,70,6,2,2022 1 24 17 19 15,-1,Roxanne,14580994393,Griswold,Drew@gmail.com,1951/3/1,1 3 2,2
134,152943121,Agnes,8,41,4,3,2022 1 24 17 27 4,-1,Sandra,18482377287,Jacqueline,Agnes@gmail.com,1980/4/23,2 3 1,2
135,811947563,Jarvis,7,56,5,1,2022 1 24 19 33 30,-1,Eldwin,16571255735,Gregory,Jarvis@gmail.com,1965/11/30,3 2 1,0
136,361134766,Samuel,4,80,7,3,2022 1 24 22 44 8,-1,Tiffany,18795631705,Estra,Samuel@gmail.com,1941/4/1,2 1 3,1
137,751248310,Thora,3,58,5,3,2022 1 24 23 2 7,-1,Berta,13426611814,Percy,Thora@gmail.com,1964/1/15,2 3 1,0
138,202487120,Glenn,8,17,2,1,2022 1 24 23 24 30,-1,Tess,13520792705,Lane,Glenn@gmail.com,2004/9/11,2 1 3,2
139,479306136,Veronica,4,29,3,3,2022 1 24 24 11 51,-1,Herdsman,18501706979,Kyla,Veronica@gmail.com,1992/12/13,3 1 2,0
140,973600760,Jewel,2,70,6,3,2022 1 25 1 5 23,-1,Sterling,15677323258,Zachary,Jewel@gmail.com,1951/5/1,3 2 1,0
141,778288134,Georgette,4,58,5,0,2022 1 25 7 51 41,-1,Marian,15069559927,Lombard,Georgette@gmail.com,1963/3/10,1 3 2,0
142,552078450,Gertrude,5,15,2,1,2022 1 25 14 35 8,-1,Kerri,19135418978,Rupert,Gertrude@gmail.com,2006/1/18,3 2 1,2
143,491283809,Song-Thrush,1,20,3,0,2022 1 25 15 7 21,-1,Quinby,17366637306,Harvester,Song-Thrush@gmail.com,2001/8/26,3 1 2,1
144,320336684,Selene,6,74,6,2,2022 1 25 18 14 33,-1,Maxine,13066533895,Nicolette,Selene@gmail.com,1947/10/8,2 1 3,2
145,307929819,Anita,3,18,2,1,2022 1 25 23 10 47,-1,Harriet,13100403194,Evelyn,Anita@gmail.com,2003/10/26,3 2 1,2
146,788842163,Ethanael,8,14,2,3,2022 1 26 0 2 28,-1,Strawberry,15994512594,Irving,Ethanael@gmail.com,2007/5/18,3 2 1,0
147,524617420,Quenna,5,24,3,1,2022 1 26 6 37 33,2022/1/28,Vincent,14769131680,Edmond,Quenna@gmail.com,1997/11/12,1 2 3,1
148,792491797,Elmer,2,66,6,1,2022 1 26 10 57 58,-1,Nicole,17376684465,Hayley,Elmer@gmail.com,1956/1/6,2 1 3,1
149,547813811,Farmer,6,60,5,1,2022 1 26 20 25 35,-1,Zea,16524812380,Donald,Farmer@gmail.com,1961/12/6,3 2 1,2
150,751203506,Wolf,4,70,6,0,2022 1 26 21 45 23,-1,Henrietta,17112586298,Wenda,Wolf@gmail.com,1951/1/23,1 2 3,0
151,577354652,Nourishing,2,16,2,3,2022 1 27 9 11 50,-1,Prudent,18730956693,Scott,Nourishing@gmail.com,2005/7/16,1 3 2,0
152,225150986,Thalia,3,62,5,2,2022 1 27 13 40 15,-1,Torrent,13925844125,Hilda,Thalia@gmail.com,1959/10/13,1 3 2,1
153,550233688,Freda,3,79,7,3,2022 1 27 15 46 24,-1,Harland,18214089407,Ferdinand,Freda@gmail.com,1942/11/19,3 1 2,1
154,560770681,Questa,3,26,3,2,2022 1 27 18 15 13,-1,Heath,17375634466,Mariner,Questa@gmail.com,1995/2/11,3 2 1,2
155,368745947,Dependable,8,40,4,1,2022 1 27 24 39 11,-1,Steward,13116426624,Conqueror,Dependable@gmail.com,1981/1/19,3 2 1,0
156,814501266,Dixon,6,37,4,1,2022 1 28 0 46 23,-1,Kenneth,18925435147,Effie,Dixon@gmail.com,1984/10/30,1 3 2,1
157,504796327,Blooming,3,5,1,2,2022 1 28 1 30 9,-1,Firm,19901087939,Gilroy,Blooming@gmail.com,2016/10/29,1 2 3,2
158,579370614,Danielle,1,34,3,1,2022 1 28 3 44 25,-1,Edmund,15528279786,Justin,Danielle@gmail.com,1987/5/30,3 1 2,2
159,679987259,Louis,4,70,6,2,2022 1 28 11 0 10,-1,Vandal,18273022667,Orva,Louis@gmail.com,1951/12/2,1 3 2,0
160,147255634,Bobbie,2,34,3,1,2022 1 28 13 52 50,-1,Gardener,19157336873,Edeline,Bobbie@gmail.com,1987/6/10,3 2 1,2
161,329297238,Lucas,3,6,1,0,2022 1 28 14 58 26,-1,Serena,18624589442,Lara,Lucas@gmail.com,2015/5/27,2 1 3,2
162,466992911,Seeds,8,63,5,1,2022 1 28 18 9 24,-1,Forbes,13486259445,Dermot,Seeds@gmail.com,1958/4/4,3 1 2,2
163,875657546,Hope,8,3,1,1,2022 1 28 19 16 5,-1,Industrious,18521893836,Kate,Hope@gmail.com,2018/11/6,3 2 1,0
164,120525872,Laurel,7,49,4,0,2022 1 28 19 42 27,-1,Blessed,14516816200,Heather,Laurel@gmail.com,1972/2/5,2 1 3,0
165,449745098,Magda,3,24,3,2,2022 1 28 20 49 58,-1,Fairfax,13036064222,Monica,Magda@gmail.com,1997/12/13,1 3 2,1
166,358722099,Davin,8,64,5,3,2022 1 28 24 28 8,-1,Judith,15557868176,Halden,Davin@gmail.com,1957/6/29,2 1 3,0
167,449966197,Fenton,5,62,5,3,2022 1 28 24 37 29,-1,Stephen,19199514573,Loralie,Fenton@gmail.com,1959/12/6,1 3 2,0
